image_id,image_path,num_gt,num_pred,num_tp,num_fp,num_fn
1,./corrupted_test_sets/test_blur_strong/page_0026.jpeg,2,14,2,12,0
2,./corrupted_test_sets/test_blur_strong/page_0027.jpeg,2,13,2,11,0
3,./corrupted_test_sets/test_blur_strong/page_0029.jpeg,3,16,3,13,0
4,./corrupted_test_sets/test_blur_strong/page_0030.jpeg,2,10,2,8,0
5,./corrupted_test_sets/test_blur_strong/page_0031.jpeg,2,9,2,7,0
6,./corrupted_test_sets/test_blur_strong/page_0033.jpeg,2,13,2,11,0
7,./corrupted_test_sets/test_blur_strong/page_0041.jpeg,2,8,2,6,0
8,./corrupted_test_sets/test_blur_strong/page_0042.jpeg,2,11,2,9,0
9,./corrupted_test_sets/test_blur_strong/page_0045.jpeg,2,18,2,16,0
10,./corrupted_test_sets/test_blur_strong/page_0047.jpeg,2,13,2,11,0
11,./corrupted_test_sets/test_blur_strong/page_0053.jpeg,0,0,0,0,0
12,./corrupted_test_sets/test_blur_strong/page_0055.jpeg,0,0,0,0,0
13,./corrupted_test_sets/test_blur_strong/page_0095.jpeg,2,20,2,18,0
14,./corrupted_test_sets/test_blur_strong/page_0110.jpeg,1,1,1,0,0
15,./corrupted_test_sets/test_blur_strong/page_0133.jpeg,1,8,1,7,0
16,./corrupted_test_sets/test_blur_strong/page_0142.jpeg,3,18,3,15,0
17,./corrupted_test_sets/test_blur_strong/page_0161.jpeg,1,3,1,2,0
18,./corrupted_test_sets/test_blur_strong/page_0167.jpeg,1,6,1,5,0
19,./corrupted_test_sets/test_blur_strong/page_0182.jpeg,2,18,2,16,0
20,./corrupted_test_sets/test_blur_strong/page_0183.jpeg,1,7,1,6,0
21,./corrupted_test_sets/test_blur_strong/page_0202.jpeg,2,8,2,6,0
22,./corrupted_test_sets/test_blur_strong/page_0205.jpeg,2,25,2,23,0
23,./corrupted_test_sets/test_blur_strong/page_0211.jpeg,2,8,2,6,0
24,./corrupted_test_sets/test_blur_strong/page_0215.jpeg,2,12,2,10,0
25,./corrupted_test_sets/test_blur_strong/page_0217.jpeg,2,10,2,8,0
26,./corrupted_test_sets/test_blur_strong/page_0233.jpeg,1,9,1,8,0
27,./corrupted_test_sets/test_blur_strong/page_0237.jpeg,1,11,1,10,0
28,./corrupted_test_sets/test_blur_strong/page_0241.jpeg,2,19,2,17,0
29,./corrupted_test_sets/test_blur_strong/page_0247.jpeg,2,6,2,4,0
30,./corrupted_test_sets/test_blur_strong/page_0249.jpeg,2,11,2,9,0
31,./corrupted_test_sets/test_blur_strong/page_0251.jpeg,0,4,0,4,0
32,./corrupted_test_sets/test_blur_strong/page_0257.jpeg,2,12,2,10,0
33,./corrupted_test_sets/test_blur_strong/page_0259.jpeg,2,15,2,13,0
34,./corrupted_test_sets/test_blur_strong/page_0263.jpeg,0,0,0,0,0
35,./corrupted_test_sets/test_blur_strong/page_0267.jpeg,0,0,0,0,0
36,./corrupted_test_sets/test_blur_strong/page_0277.jpeg,1,10,1,9,0
37,./corrupted_test_sets/test_blur_strong/page_0283.jpeg,1,10,1,9,0
38,./corrupted_test_sets/test_blur_strong/page_0291.jpeg,1,8,1,7,0
39,./corrupted_test_sets/test_blur_strong/page_0293.jpeg,2,15,2,13,0
40,./corrupted_test_sets/test_blur_strong/page_0301.jpeg,1,7,1,6,0
41,./corrupted_test_sets/test_blur_strong/page_0307.jpeg,1,9,1,8,0
42,./corrupted_test_sets/test_blur_strong/page_0317.jpeg,1,4,1,3,0
43,./corrupted_test_sets/test_blur_strong/page_0319.jpeg,1,0,0,0,1
44,./corrupted_test_sets/test_blur_strong/page_0321.jpeg,2,22,2,20,0
45,./corrupted_test_sets/test_blur_strong/page_0327.jpeg,2,19,2,17,0
46,./corrupted_test_sets/test_blur_strong/page_0329.jpeg,2,27,2,25,0
47,./corrupted_test_sets/test_blur_strong/page_0333.jpeg,1,10,1,9,0
48,./corrupted_test_sets/test_blur_strong/page_0337.jpeg,0,0,0,0,0
49,./corrupted_test_sets/test_blur_strong/page_0339.jpeg,0,5,0,5,0
50,./corrupted_test_sets/test_blur_strong/page_0341.jpeg,0,3,0,3,0
