image_id,image_path,num_gt,num_pred,num_tp,num_fp,num_fn
1,./corrupted_test_sets/test_rotation_strong/page_0026.jpeg,2,33,1,32,1
2,./corrupted_test_sets/test_rotation_strong/page_0027.jpeg,2,35,2,33,0
3,./corrupted_test_sets/test_rotation_strong/page_0029.jpeg,3,49,2,47,1
4,./corrupted_test_sets/test_rotation_strong/page_0030.jpeg,2,28,1,27,1
5,./corrupted_test_sets/test_rotation_strong/page_0031.jpeg,2,33,2,31,0
6,./corrupted_test_sets/test_rotation_strong/page_0033.jpeg,2,31,0,31,2
7,./corrupted_test_sets/test_rotation_strong/page_0041.jpeg,2,34,2,32,0
8,./corrupted_test_sets/test_rotation_strong/page_0042.jpeg,2,32,1,31,1
9,./corrupted_test_sets/test_rotation_strong/page_0045.jpeg,2,38,2,36,0
10,./corrupted_test_sets/test_rotation_strong/page_0047.jpeg,2,33,2,31,0
11,./corrupted_test_sets/test_rotation_strong/page_0053.jpeg,0,8,0,8,0
12,./corrupted_test_sets/test_rotation_strong/page_0055.jpeg,0,2,0,2,0
13,./corrupted_test_sets/test_rotation_strong/page_0095.jpeg,2,27,1,26,1
14,./corrupted_test_sets/test_rotation_strong/page_0110.jpeg,1,17,0,17,1
15,./corrupted_test_sets/test_rotation_strong/page_0133.jpeg,1,17,1,16,0
16,./corrupted_test_sets/test_rotation_strong/page_0142.jpeg,3,50,3,47,0
17,./corrupted_test_sets/test_rotation_strong/page_0161.jpeg,1,13,0,13,1
18,./corrupted_test_sets/test_rotation_strong/page_0167.jpeg,1,17,0,17,1
19,./corrupted_test_sets/test_rotation_strong/page_0182.jpeg,2,34,1,33,1
20,./corrupted_test_sets/test_rotation_strong/page_0183.jpeg,1,16,0,16,1
21,./corrupted_test_sets/test_rotation_strong/page_0202.jpeg,2,34,1,33,1
22,./corrupted_test_sets/test_rotation_strong/page_0205.jpeg,2,37,1,36,1
23,./corrupted_test_sets/test_rotation_strong/page_0211.jpeg,2,26,1,25,1
24,./corrupted_test_sets/test_rotation_strong/page_0215.jpeg,2,29,2,27,0
25,./corrupted_test_sets/test_rotation_strong/page_0217.jpeg,2,35,2,33,0
26,./corrupted_test_sets/test_rotation_strong/page_0233.jpeg,1,22,1,21,0
27,./corrupted_test_sets/test_rotation_strong/page_0237.jpeg,1,47,1,46,0
28,./corrupted_test_sets/test_rotation_strong/page_0241.jpeg,2,40,2,38,0
29,./corrupted_test_sets/test_rotation_strong/page_0247.jpeg,2,25,1,24,1
30,./corrupted_test_sets/test_rotation_strong/page_0249.jpeg,2,36,1,35,1
31,./corrupted_test_sets/test_rotation_strong/page_0251.jpeg,0,16,0,16,0
32,./corrupted_test_sets/test_rotation_strong/page_0257.jpeg,2,38,2,36,0
33,./corrupted_test_sets/test_rotation_strong/page_0259.jpeg,2,25,1,24,1
34,./corrupted_test_sets/test_rotation_strong/page_0263.jpeg,0,0,0,0,0
35,./corrupted_test_sets/test_rotation_strong/page_0267.jpeg,0,1,0,1,0
36,./corrupted_test_sets/test_rotation_strong/page_0277.jpeg,1,27,1,26,0
37,./corrupted_test_sets/test_rotation_strong/page_0283.jpeg,1,26,1,25,0
38,./corrupted_test_sets/test_rotation_strong/page_0291.jpeg,1,31,1,30,0
39,./corrupted_test_sets/test_rotation_strong/page_0293.jpeg,2,51,2,49,0
40,./corrupted_test_sets/test_rotation_strong/page_0301.jpeg,1,36,1,35,0
41,./corrupted_test_sets/test_rotation_strong/page_0307.jpeg,1,19,1,18,0
42,./corrupted_test_sets/test_rotation_strong/page_0317.jpeg,1,21,1,20,0
43,./corrupted_test_sets/test_rotation_strong/page_0319.jpeg,1,20,1,19,0
44,./corrupted_test_sets/test_rotation_strong/page_0321.jpeg,2,57,2,55,0
45,./corrupted_test_sets/test_rotation_strong/page_0327.jpeg,2,43,2,41,0
46,./corrupted_test_sets/test_rotation_strong/page_0329.jpeg,2,52,2,50,0
47,./corrupted_test_sets/test_rotation_strong/page_0333.jpeg,1,36,1,35,0
48,./corrupted_test_sets/test_rotation_strong/page_0337.jpeg,0,0,0,0,0
49,./corrupted_test_sets/test_rotation_strong/page_0339.jpeg,0,7,0,7,0
50,./corrupted_test_sets/test_rotation_strong/page_0341.jpeg,0,21,0,21,0
