image_id,image_path,num_gt,num_pred,num_tp,num_fp,num_fn
1,./mobile_images/IMG_3674.jpg,19,4,0,4,19
22,./mobile_images/IMG_3695.jpg,3,2,1,1,2
27,./mobile_images/IMG_3700.jpg,1,3,0,3,1
38,./mobile_images/IMG_3711.jpg,2,24,2,22,0
19,./mobile_images/IMG_3692.jpg,2,23,2,21,0
6,./mobile_images/IMG_3679.jpg,1,20,1,19,0
9,./mobile_images/IMG_3682.jpg,2,19,2,17,0
37,./mobile_images/IMG_3710.jpg,2,18,2,16,0
10,./mobile_images/IMG_3683.jpg,2,15,2,13,0
7,./mobile_images/IMG_3680.jpg,2,14,2,12,0
18,./mobile_images/IMG_3691.jpg,2,14,2,12,0
39,./mobile_images/IMG_3712.jpg,2,13,2,11,0
14,./mobile_images/IMG_3687.jpg,1,11,1,10,0
16,./mobile_images/IMG_3689.jpg,2,12,2,10,0
25,./mobile_images/IMG_3698.jpg,2,12,2,10,0
28,./mobile_images/IMG_3701.jpg,1,10,1,9,0
32,./mobile_images/IMG_3705.jpg,2,11,2,9,0
5,./mobile_images/IMG_3678.jpg,0,8,0,8,0
17,./mobile_images/IMG_3690.jpg,2,10,2,8,0
33,./mobile_images/IMG_3706.jpg,2,10,2,8,0
13,./mobile_images/IMG_3686.jpg,2,9,2,7,0
31,./mobile_images/IMG_3704.jpg,1,8,1,7,0
4,./mobile_images/IMG_3677.jpg,0,5,0,5,0
8,./mobile_images/IMG_3681.jpg,1,6,1,5,0
11,./mobile_images/IMG_3684.jpg,2,7,2,5,0
12,./mobile_images/IMG_3685.jpg,1,6,1,5,0
20,./mobile_images/IMG_3693.jpg,1,6,1,5,0
24,./mobile_images/IMG_3697.jpg,1,6,1,5,0
34,./mobile_images/IMG_3707.jpg,1,6,1,5,0
35,./mobile_images/IMG_3708.jpg,1,5,1,4,0
