image_id,image_path,num_gt,num_pred,num_tp,num_fp,num_fn
1,./sampled_test/page_0026.jpeg,2,30,2,28,0
2,./sampled_test/page_0027.jpeg,2,32,2,30,0
3,./sampled_test/page_0029.jpeg,3,43,3,40,0
4,./sampled_test/page_0030.jpeg,2,29,2,27,0
5,./sampled_test/page_0031.jpeg,2,28,2,26,0
6,./sampled_test/page_0033.jpeg,2,27,2,25,0
7,./sampled_test/page_0041.jpeg,2,32,2,30,0
8,./sampled_test/page_0042.jpeg,2,27,2,25,0
9,./sampled_test/page_0045.jpeg,2,32,2,30,0
10,./sampled_test/page_0047.jpeg,2,29,2,27,0
11,./sampled_test/page_0053.jpeg,0,8,0,8,0
12,./sampled_test/page_0055.jpeg,0,2,0,2,0
13,./sampled_test/page_0095.jpeg,2,25,2,23,0
14,./sampled_test/page_0110.jpeg,1,20,1,19,0
15,./sampled_test/page_0133.jpeg,1,13,1,12,0
16,./sampled_test/page_0142.jpeg,3,47,3,44,0
17,./sampled_test/page_0161.jpeg,1,16,1,15,0
18,./sampled_test/page_0167.jpeg,1,17,1,16,0
19,./sampled_test/page_0182.jpeg,2,33,2,31,0
20,./sampled_test/page_0183.jpeg,1,12,1,11,0
21,./sampled_test/page_0202.jpeg,2,30,2,28,0
22,./sampled_test/page_0205.jpeg,2,40,2,38,0
23,./sampled_test/page_0211.jpeg,2,27,2,25,0
24,./sampled_test/page_0215.jpeg,2,28,2,26,0
25,./sampled_test/page_0217.jpeg,2,33,2,31,0
26,./sampled_test/page_0233.jpeg,1,18,1,17,0
27,./sampled_test/page_0237.jpeg,1,46,1,45,0
28,./sampled_test/page_0241.jpeg,2,31,2,29,0
29,./sampled_test/page_0247.jpeg,2,21,2,19,0
30,./sampled_test/page_0249.jpeg,2,37,2,35,0
31,./sampled_test/page_0251.jpeg,0,17,0,17,0
32,./sampled_test/page_0257.jpeg,2,39,2,37,0
33,./sampled_test/page_0259.jpeg,2,24,2,22,0
34,./sampled_test/page_0263.jpeg,0,1,0,1,0
35,./sampled_test/page_0267.jpeg,0,2,0,2,0
36,./sampled_test/page_0277.jpeg,1,24,1,23,0
37,./sampled_test/page_0283.jpeg,1,22,1,21,0
38,./sampled_test/page_0291.jpeg,1,29,1,28,0
39,./sampled_test/page_0293.jpeg,2,51,2,49,0
40,./sampled_test/page_0301.jpeg,1,33,1,32,0
41,./sampled_test/page_0307.jpeg,1,16,1,15,0
42,./sampled_test/page_0317.jpeg,1,26,1,25,0
43,./sampled_test/page_0319.jpeg,1,27,1,26,0
44,./sampled_test/page_0321.jpeg,2,54,2,52,0
45,./sampled_test/page_0327.jpeg,2,44,2,42,0
46,./sampled_test/page_0329.jpeg,2,52,2,50,0
47,./sampled_test/page_0333.jpeg,1,31,1,30,0
48,./sampled_test/page_0337.jpeg,0,0,0,0,0
49,./sampled_test/page_0339.jpeg,0,7,0,7,0
50,./sampled_test/page_0341.jpeg,0,18,0,18,0
